sale_id,date,client_id,campaign_id,country,region,latitude,longitude,market_status,service,salesperson,segment,revenue,cost,profit,pipeline_stage,win_loss_status,sales_cycle_days
S-50644,2025-11-30,C-2947,CAM-495,Zimbabwe,Harare,-17.8292,31.0522,Potential,BI Dashboard,Mpho,Enterprise,78533.09,46591.78,31941.31,Closed,Won,59
S-46725,2025-11-26,C-7058,CAM-583,Zimbabwe,Harare,-17.8292,31.0522,Potential,BI Dashboard,Aisha,Government,26722.13,18943.81,7778.32,Closed,Pending,28
S-65807,2026-02-20,C-3553,CAM-570,Botswana,Maun,-19.9833,23.4167,Expansion,HR Analytics,Lerato,NGO,114072.84,71210.09,42862.75,Qualified,Lost,41
S-11464,2026-03-01,C-7098,CAM-475,Botswana,Gaborone,-24.6282,25.9231,Existing,HR Analytics,Aisha,SME,112244.42,41705.83,70538.59,Closed,Lost,70
S-53279,2026-01-17,C-8566,CAM-417,Zimbabwe,Harare,-17.8292,31.0522,Potential,Cybersecurity,Lerato,NGO,118859.66,70760.55,48099.11,Lead,Won,15
S-14442,2025-11-20,C-9077,CAM-551,Namibia,Windhoek,-22.5609,17.0658,Expansion,Data Automation,Neo,NGO,80058.29,57024.9,23033.39,Qualified,Won,52
S-82113,2025-12-21,C-5472,CAM-917,Namibia,Windhoek,-22.5609,17.0658,Expansion,Forecasting Model,Neo,Government,86068.01,47535.77,38532.24,Qualified,Lost,56
S-16194,2026-03-13,C-6097,CAM-275,Zimbabwe,Harare,-17.8292,31.0522,Potential,Data Automation,Kabelo,SME,13404.38,7540.67,5863.71,Proposal,Pending,69
S-95062,2026-03-12,C-8877,CAM-212,South Africa,Cape Town,-33.9249,18.4241,Growth,Cybersecurity,Mpho,Startup,8383.13,5555.28,2827.85,Closed,Pending,38
S-28658,2026-02-19,C-9176,CAM-966,Kenya,Nairobi,-1.2921,36.8219,Potential,Data Automation,Kabelo,Enterprise,92948.65,40459.3,52489.35,Negotiation,Pending,5
S-33330,2026-02-13,C-6267,CAM-237,South Africa,Johannesburg,-26.2041,28.0473,Existing,Data Automation,Thato,SME,50550.63,20715.32,29835.31,Lead,Won,37
S-95299,2025-11-08,C-8100,CAM-495,Botswana,Maun,-19.9833,23.4167,Expansion,HR Analytics,Kabelo,Startup,20001.41,9196.28,10805.13,Proposal,Won,57
S-52817,2026-01-27,C-4029,CAM-647,Zimbabwe,Harare,-17.8292,31.0522,Potential,Cybersecurity,Lerato,NGO,24549.88,10014.63,14535.25,Qualified,Lost,57
S-62524,2026-03-21,C-2056,CAM-267,Nigeria,Lagos,6.5244,3.3792,Potential,Cybersecurity,Neo,Government,60014.76,24470.83,35543.93,Lead,Won,53
S-32837,2025-11-26,C-5916,CAM-829,South Africa,Johannesburg,-26.2041,28.0473,Existing,Forecasting Model,Lerato,Startup,73643.59,48771.93,24871.66,Negotiation,Lost,5
S-48729,2026-03-24,C-6542,CAM-772,Zambia,Lusaka,-15.3875,28.3228,Potential,Data Automation,Neo,Startup,125317.2,59907.9,65409.3,Lead,Pending,9
S-61859,2026-03-12,C-1953,CAM-912,Botswana,Francistown,-21.1702,27.5079,Growth,BI Dashboard,Aisha,Government,30435.07,12516.83,17918.24,Negotiation,Lost,33
S-21566,2026-05-07,C-9565,CAM-722,South Africa,Johannesburg,-26.2041,28.0473,Existing,Forecasting Model,Aisha,NGO,74658.69,48034.62,26624.07,Negotiation,Won,73
S-45836,2026-04-30,C-8415,CAM-527,Botswana,Gaborone,-24.6282,25.9231,Existing,Cybersecurity,Aisha,Startup,110396.24,41945.75,68450.49,Closed,Won,10
S-68182,2026-03-14,C-4631,CAM-600,Zambia,Lusaka,-15.3875,28.3228,Potential,Process Optimisation,Neo,Startup,107609.83,37324.66,70285.17,Proposal,Won,24
S-68195,2026-02-09,C-4965,CAM-430,Zambia,Lusaka,-15.3875,28.3228,Potential,Cybersecurity,Kabelo,SME,68222.57,43672.81,24549.76,Proposal,Pending,23
S-46964,2025-12-07,C-3810,CAM-349,Botswana,Maun,-19.9833,23.4167,Expansion,HR Analytics,Boitumelo,Startup,48755.75,26859.73,21896.02,Lead,Lost,12
S-14347,2026-02-02,C-6162,CAM-190,Botswana,Francistown,-21.1702,27.5079,Growth,HR Analytics,Kabelo,Enterprise,20664.33,10017.62,10646.71,Lead,Lost,57
S-96523,2026-02-02,C-2225,CAM-113,Botswana,Francistown,-21.1702,27.5079,Growth,Data Automation,Mpho,Enterprise,64039.81,25985.49,38054.32,Proposal,Won,32
S-76706,2026-01-05,C-6592,CAM-315,Botswana,Gaborone,-24.6282,25.9231,Existing,Data Automation,Aisha,Enterprise,58389.79,18043.65,40346.14,Lead,Lost,63
S-27918,2025-12-27,C-9907,CAM-332,Kenya,Nairobi,-1.2921,36.8219,Potential,Data Automation,Neo,SME,104122.21,53338.94,50783.27,Closed,Pending,50
S-36340,2026-03-02,C-7359,CAM-199,South Africa,Johannesburg,-26.2041,28.0473,Existing,AI Chatbot,Kabelo,NGO,35325.05,21899.42,13425.63,Qualified,Won,6
S-74219,2025-12-13,C-8363,CAM-882,Nigeria,Lagos,6.5244,3.3792,Potential,Cybersecurity,Mpho,SME,129530.48,62759.61,66770.87,Qualified,Lost,26
S-33853,2025-11-25,C-7204,CAM-644,Botswana,Francistown,-21.1702,27.5079,Growth,AI Chatbot,Boitumelo,Startup,87301.15,35706.68,51594.47,Lead,Pending,44
S-11078,2026-04-17,C-3819,CAM-988,Botswana,Francistown,-21.1702,27.5079,Growth,AI Chatbot,Aisha,Startup,51891.25,17644.05,34247.2,Negotiation,Pending,11
S-45410,2026-03-29,C-8806,CAM-582,Botswana,Gaborone,-24.6282,25.9231,Existing,AI Chatbot,Boitumelo,SME,37853.02,20611.98,17241.04,Proposal,Pending,40
S-22904,2025-12-23,C-3572,CAM-288,Namibia,Windhoek,-22.5609,17.0658,Expansion,AI Chatbot,Thato,NGO,71710.19,39059.81,32650.38,Lead,Lost,38
S-15549,2025-11-16,C-5251,CAM-391,South Africa,Cape Town,-33.9249,18.4241,Growth,HR Analytics,Aisha,Government,97280.78,32347.38,64933.4,Lead,Lost,75
S-50579,2026-04-11,C-8366,CAM-705,South Africa,Johannesburg,-26.2041,28.0473,Existing,Data Automation,Aisha,Government,89196.85,30223.96,58972.89,Closed,Pending,3
S-67530,2026-04-19,C-1655,CAM-756,Kenya,Nairobi,-1.2921,36.8219,Potential,AI Chatbot,Aisha,NGO,16543.96,11817.67,4726.29,Qualified,Pending,53
S-64484,2025-12-16,C-3048,CAM-875,Namibia,Windhoek,-22.5609,17.0658,Expansion,AI Chatbot,Thato,Enterprise,89558.63,36984.55,52574.08,Closed,Pending,38
S-89105,2026-02-21,C-9632,CAM-486,Nigeria,Lagos,6.5244,3.3792,Potential,HR Analytics,Neo,SME,61484.13,26701.86,34782.27,Proposal,Lost,21
S-49777,2026-01-19,C-8790,CAM-406,Botswana,Gaborone,-24.6282,25.9231,Existing,Data Automation,Kabelo,NGO,25284.81,13578.41,11706.4,Closed,Pending,53
S-96797,2026-01-22,C-6612,CAM-193,Zimbabwe,Harare,-17.8292,31.0522,Potential,Cybersecurity,Aisha,Startup,128042.93,42730.14,85312.79,Proposal,Pending,6
S-72116,2026-01-16,C-8833,CAM-988,Botswana,Gaborone,-24.6282,25.9231,Existing,HR Analytics,Thato,NGO,117547.69,63724.31,53823.38,Closed,Won,69
S-27070,2026-03-07,C-9812,CAM-244,Botswana,Francistown,-21.1702,27.5079,Growth,HR Analytics,Thato,Enterprise,48562.18,29283.34,19278.84,Lead,Pending,53
S-31507,2025-12-31,C-9906,CAM-744,Kenya,Nairobi,-1.2921,36.8219,Potential,Data Automation,Neo,Startup,56433.93,34810.53,21623.4,Proposal,Pending,56
S-46212,2025-12-08,C-2098,CAM-442,Zimbabwe,Harare,-17.8292,31.0522,Potential,Data Automation,Neo,Startup,11060.15,7433.14,3627.01,Lead,Won,70
S-82011,2026-05-01,C-6534,CAM-728,Kenya,Nairobi,-1.2921,36.8219,Potential,HR Analytics,Thato,SME,36228.86,25937.59,10291.27,Qualified,Lost,54
S-14440,2026-01-29,C-8283,CAM-536,Botswana,Gaborone,-24.6282,25.9231,Existing,Process Optimisation,Kabelo,Enterprise,26594.76,8582.45,18012.31,Qualified,Won,70
S-42362,2025-12-08,C-1308,CAM-894,South Africa,Cape Town,-33.9249,18.4241,Growth,Forecasting Model,Aisha,NGO,101817.9,73088.46,28729.44,Lead,Lost,73
S-59437,2026-03-18,C-2390,CAM-821,Zambia,Lusaka,-15.3875,28.3228,Potential,Cybersecurity,Lerato,Enterprise,9924.61,4680.92,5243.69,Qualified,Pending,21
S-82903,2026-01-04,C-3396,CAM-646,Botswana,Gaborone,-24.6282,25.9231,Existing,Data Automation,Lerato,Startup,60250.95,41872.03,18378.92,Proposal,Lost,31
S-96326,2026-03-11,C-2025,CAM-404,Namibia,Windhoek,-22.5609,17.0658,Expansion,BI Dashboard,Neo,Startup,11721.04,8040.33,3680.71,Qualified,Won,75
S-47633,2026-02-04,C-7755,CAM-520,Kenya,Nairobi,-1.2921,36.8219,Potential,Data Automation,Kabelo,NGO,70407.78,29859.56,40548.22,Proposal,Pending,55
S-67643,2025-12-22,C-8070,CAM-142,Nigeria,Lagos,6.5244,3.3792,Potential,Forecasting Model,Thato,Enterprise,76656.34,34195.83,42460.51,Closed,Won,6
S-71260,2026-03-23,C-1012,CAM-811,Zambia,Lusaka,-15.3875,28.3228,Potential,BI Dashboard,Lerato,Government,96075.09,60752.53,35322.56,Negotiation,Lost,40
S-28919,2026-02-14,C-8921,CAM-599,Botswana,Gaborone,-24.6282,25.9231,Existing,BI Dashboard,Mpho,Enterprise,37082.44,17686.59,19395.85,Negotiation,Pending,42
S-94158,2025-12-01,C-3426,CAM-356,South Africa,Cape Town,-33.9249,18.4241,Growth,Process Optimisation,Neo,Enterprise,74282.21,36697.7,37584.51,Negotiation,Pending,73
S-16711,2025-12-05,C-2693,CAM-573,Nigeria,Lagos,6.5244,3.3792,Potential,Data Automation,Lerato,Enterprise,102194.15,67092.07,35102.08,Qualified,Pending,14
S-43467,2026-04-09,C-7364,CAM-778,Botswana,Francistown,-21.1702,27.5079,Growth,Forecasting Model,Neo,Enterprise,56002.64,30213.97,25788.67,Negotiation,Won,59
S-98151,2026-03-04,C-9619,CAM-199,Zimbabwe,Harare,-17.8292,31.0522,Potential,Forecasting Model,Boitumelo,SME,53878.63,34898.98,18979.65,Closed,Won,23
S-30524,2025-12-28,C-6502,CAM-201,Nigeria,Lagos,6.5244,3.3792,Potential,BI Dashboard,Thato,Enterprise,40930.28,21364.87,19565.41,Closed,Lost,38
S-41730,2026-04-27,C-7813,CAM-474,Zimbabwe,Harare,-17.8292,31.0522,Potential,Forecasting Model,Mpho,Startup,111613.5,61536.05,50077.45,Qualified,Pending,4
S-61844,2026-02-18,C-2041,CAM-215,Botswana,Francistown,-21.1702,27.5079,Growth,HR Analytics,Kabelo,Startup,42023.47,27256.36,14767.11,Proposal,Pending,51
S-19852,2026-03-22,C-8451,CAM-468,Kenya,Nairobi,-1.2921,36.8219,Potential,Cybersecurity,Mpho,Startup,113267.02,67536.09,45730.93,Qualified,Lost,20
S-96679,2026-01-24,C-9229,CAM-331,South Africa,Cape Town,-33.9249,18.4241,Growth,Forecasting Model,Thato,Enterprise,122921.93,44176.09,78745.84,Qualified,Pending,3
S-75188,2026-04-20,C-2217,CAM-826,Namibia,Windhoek,-22.5609,17.0658,Expansion,HR Analytics,Kabelo,Enterprise,17892.62,10756.97,7135.65,Closed,Won,48
S-51446,2026-01-27,C-5089,CAM-938,Zambia,Lusaka,-15.3875,28.3228,Potential,HR Analytics,Mpho,Government,81555.35,40397.14,41158.21,Proposal,Pending,68
S-74663,2025-12-04,C-5915,CAM-862,South Africa,Cape Town,-33.9249,18.4241,Growth,Data Automation,Kabelo,SME,20569.18,8231.87,12337.31,Closed,Pending,40
S-23445,2026-03-12,C-2926,CAM-767,Kenya,Nairobi,-1.2921,36.8219,Potential,HR Analytics,Thato,Government,54456.77,29112.2,25344.57,Proposal,Lost,44
S-19540,2025-11-11,C-9302,CAM-907,Kenya,Nairobi,-1.2921,36.8219,Potential,Data Automation,Mpho,SME,23524.65,15068.9,8455.75,Proposal,Lost,67
S-86408,2025-11-24,C-9946,CAM-933,South Africa,Cape Town,-33.9249,18.4241,Growth,HR Analytics,Aisha,Startup,80887.85,29379.94,51507.91,Lead,Lost,30
S-19274,2026-04-04,C-5892,CAM-532,Zambia,Lusaka,-15.3875,28.3228,Potential,Process Optimisation,Neo,Government,54908.79,29264.39,25644.4,Lead,Pending,14
S-96520,2025-11-22,C-4959,CAM-752,South Africa,Johannesburg,-26.2041,28.0473,Existing,BI Dashboard,Lerato,NGO,17567.18,11409.48,6157.7,Qualified,Won,12
S-79047,2026-05-03,C-3735,CAM-314,Zimbabwe,Harare,-17.8292,31.0522,Potential,Data Automation,Aisha,NGO,110598.5,66648.65,43949.85,Negotiation,Won,72
S-98187,2026-04-02,C-1172,CAM-775,South Africa,Cape Town,-33.9249,18.4241,Growth,AI Chatbot,Boitumelo,Enterprise,128478.47,73138.97,55339.5,Proposal,Won,34
S-74137,2026-02-05,C-6666,CAM-861,Botswana,Francistown,-21.1702,27.5079,Growth,AI Chatbot,Aisha,Enterprise,62727.04,39962.02,22765.02,Closed,Lost,49
S-76713,2026-04-18,C-4324,CAM-437,Zimbabwe,Harare,-17.8292,31.0522,Potential,AI Chatbot,Boitumelo,Government,29302.1,14079.83,15222.27,Negotiation,Pending,27
S-34379,2026-02-03,C-5765,CAM-515,Namibia,Windhoek,-22.5609,17.0658,Expansion,HR Analytics,Aisha,Startup,98207.5,35100.1,63107.4,Negotiation,Lost,72
S-93592,2026-02-06,C-5404,CAM-860,Namibia,Windhoek,-22.5609,17.0658,Expansion,Data Automation,Aisha,NGO,40559.3,21789.93,18769.37,Lead,Won,25
S-81377,2026-01-29,C-5288,CAM-970,South Africa,Cape Town,-33.9249,18.4241,Growth,Process Optimisation,Kabelo,NGO,110112.01,74728.57,35383.44,Lead,Lost,49
S-26059,2026-02-08,C-7259,CAM-303,Botswana,Francistown,-21.1702,27.5079,Growth,Forecasting Model,Kabelo,SME,87246.29,27150.53,60095.76,Qualified,Lost,30
S-16439,2026-03-03,C-5646,CAM-862,Zimbabwe,Harare,-17.8292,31.0522,Potential,Cybersecurity,Lerato,Enterprise,78297.66,45582.91,32714.75,Lead,Pending,35
S-11678,2025-12-05,C-8821,CAM-689,Botswana,Francistown,-21.1702,27.5079,Growth,AI Chatbot,Thato,NGO,126485.51,61043.36,65442.15,Negotiation,Lost,55
S-35319,2026-03-28,C-3241,CAM-599,Namibia,Windhoek,-22.5609,17.0658,Expansion,HR Analytics,Thato,NGO,23083.09,7943.79,15139.3,Qualified,Lost,7
S-25325,2025-12-26,C-3659,CAM-883,South Africa,Johannesburg,-26.2041,28.0473,Existing,Process Optimisation,Thato,NGO,63536.42,22486.97,41049.45,Closed,Pending,4
S-28540,2025-11-29,C-5456,CAM-104,Zambia,Lusaka,-15.3875,28.3228,Potential,Process Optimisation,Kabelo,NGO,57060.6,32164.47,24896.13,Lead,Pending,30
S-48478,2025-12-18,C-5744,CAM-163,Nigeria,Lagos,6.5244,3.3792,Potential,Cybersecurity,Mpho,Government,124035.14,87090.93,36944.21,Qualified,Lost,68
S-78110,2026-03-02,C-8196,CAM-712,Botswana,Maun,-19.9833,23.4167,Expansion,AI Chatbot,Kabelo,Government,111836.12,40193.36,71642.76,Closed,Pending,49
S-91908,2026-04-14,C-4327,CAM-104,Zambia,Lusaka,-15.3875,28.3228,Potential,Data Automation,Aisha,Enterprise,76020.59,43876.88,32143.71,Negotiation,Won,16
S-24940,2025-12-22,C-2750,CAM-454,South Africa,Johannesburg,-26.2041,28.0473,Existing,BI Dashboard,Aisha,SME,46487.6,25458.72,21028.88,Proposal,Pending,5
S-98804,2026-02-15,C-8091,CAM-188,Zambia,Lusaka,-15.3875,28.3228,Potential,AI Chatbot,Mpho,Startup,90950.73,38876.18,52074.55,Negotiation,Pending,55
S-20983,2026-04-19,C-8947,CAM-903,South Africa,Cape Town,-33.9249,18.4241,Growth,Process Optimisation,Thato,Government,66841.85,33892.76,32949.09,Proposal,Lost,58
S-94647,2025-12-04,C-6447,CAM-764,Zambia,Lusaka,-15.3875,28.3228,Potential,Process Optimisation,Aisha,SME,49591.5,15702.43,33889.07,Closed,Pending,46
S-10128,2026-01-05,C-9801,CAM-356,South Africa,Johannesburg,-26.2041,28.0473,Existing,HR Analytics,Aisha,Enterprise,74189.03,44254.97,29934.06,Proposal,Won,64
S-36653,2026-02-22,C-4210,CAM-128,Botswana,Maun,-19.9833,23.4167,Expansion,BI Dashboard,Neo,SME,8634.39,4388.87,4245.52,Lead,Lost,68
S-83789,2026-03-05,C-2978,CAM-260,Nigeria,Lagos,6.5244,3.3792,Potential,BI Dashboard,Aisha,SME,56861.15,28554.74,28306.41,Negotiation,Lost,20
S-20991,2025-12-29,C-1316,CAM-801,South Africa,Cape Town,-33.9249,18.4241,Growth,Data Automation,Neo,Startup,56958.82,19166.59,37792.23,Closed,Won,73
S-58280,2026-01-14,C-3831,CAM-593,Zimbabwe,Harare,-17.8292,31.0522,Potential,Forecasting Model,Boitumelo,NGO,106179.33,67864.24,38315.09,Closed,Won,53
S-72743,2026-03-27,C-3061,CAM-969,South Africa,Cape Town,-33.9249,18.4241,Growth,HR Analytics,Boitumelo,NGO,31824.03,13825.64,17998.39,Lead,Pending,38
S-25616,2026-05-07,C-3965,CAM-559,South Africa,Cape Town,-33.9249,18.4241,Growth,AI Chatbot,Aisha,Startup,98776.36,36431.69,62344.67,Closed,Pending,72
S-87207,2025-12-09,C-2646,CAM-619,Botswana,Maun,-19.9833,23.4167,Expansion,Forecasting Model,Boitumelo,NGO,126723.44,44086.69,82636.75,Negotiation,Won,52
S-77383,2025-12-28,C-8955,CAM-798,Botswana,Francistown,-21.1702,27.5079,Growth,Cybersecurity,Mpho,SME,73937.99,25182.57,48755.42,Qualified,Pending,67
S-99024,2026-01-21,C-4643,CAM-816,Botswana,Maun,-19.9833,23.4167,Expansion,Forecasting Model,Neo,Government,26021.23,8498.68,17522.55,Negotiation,Won,30
S-12422,2025-12-13,C-3230,CAM-769,Nigeria,Lagos,6.5244,3.3792,Potential,Cybersecurity,Neo,Startup,74534.61,42880.33,31654.28,Negotiation,Won,35
S-11230,2026-03-30,C-6174,CAM-770,South Africa,Johannesburg,-26.2041,28.0473,Existing,Process Optimisation,Aisha,Government,93084.52,56043.6,37040.92,Closed,Pending,60
S-43770,2026-02-13,C-1895,CAM-622,Nigeria,Lagos,6.5244,3.3792,Potential,HR Analytics,Aisha,Startup,56393.8,34711.52,21682.28,Closed,Lost,18
S-91609,2025-11-13,C-9753,CAM-225,South Africa,Cape Town,-33.9249,18.4241,Growth,Cybersecurity,Kabelo,Startup,46415.24,14883.01,31532.23,Qualified,Pending,32
S-84735,2025-12-07,C-9154,CAM-113,South Africa,Cape Town,-33.9249,18.4241,Growth,Cybersecurity,Aisha,Enterprise,20103.64,8362.99,11740.65,Negotiation,Lost,7
S-14264,2026-02-18,C-8309,CAM-674,Kenya,Nairobi,-1.2921,36.8219,Potential,Forecasting Model,Thato,Startup,37186.29,15915.52,21270.77,Lead,Lost,36
S-79029,2026-03-10,C-2228,CAM-933,Namibia,Windhoek,-22.5609,17.0658,Expansion,BI Dashboard,Kabelo,Government,129826.71,83203.8,46622.91,Qualified,Pending,24
S-99172,2026-02-23,C-9505,CAM-885,Botswana,Francistown,-21.1702,27.5079,Growth,Process Optimisation,Boitumelo,Government,98889.72,36021.56,62868.16,Lead,Lost,6
S-67788,2025-12-22,C-4218,CAM-602,Nigeria,Lagos,6.5244,3.3792,Potential,Data Automation,Mpho,Enterprise,14639.44,8999.56,5639.88,Qualified,Pending,13
S-11440,2025-11-27,C-4300,CAM-581,South Africa,Johannesburg,-26.2041,28.0473,Existing,Cybersecurity,Lerato,Enterprise,112391.62,34005.09,78386.53,Proposal,Won,56
S-33941,2025-12-16,C-6767,CAM-806,Botswana,Gaborone,-24.6282,25.9231,Existing,Data Automation,Kabelo,Enterprise,38460.47,14851.52,23608.95,Proposal,Won,4
S-79724,2025-12-13,C-7036,CAM-620,Namibia,Windhoek,-22.5609,17.0658,Expansion,Data Automation,Neo,NGO,34296.66,11025.51,23271.15,Lead,Pending,11
S-34011,2026-04-09,C-9407,CAM-878,Botswana,Francistown,-21.1702,27.5079,Growth,Cybersecurity,Boitumelo,SME,36574.3,18548.34,18025.96,Closed,Won,44
S-55711,2025-11-14,C-7297,CAM-633,Kenya,Nairobi,-1.2921,36.8219,Potential,Forecasting Model,Lerato,Government,79024.83,36664.26,42360.57,Qualified,Won,75
S-24847,2026-02-11,C-3557,CAM-816,Zimbabwe,Harare,-17.8292,31.0522,Potential,Forecasting Model,Boitumelo,NGO,58586.7,30391.55,28195.15,Closed,Won,75
S-57434,2026-01-10,C-1303,CAM-287,Zimbabwe,Harare,-17.8292,31.0522,Potential,Cybersecurity,Mpho,Enterprise,35466.15,17801.99,17664.16,Qualified,Won,20
S-89035,2026-01-24,C-8498,CAM-704,Botswana,Maun,-19.9833,23.4167,Expansion,Process Optimisation,Boitumelo,Government,49432.78,31674.86,17757.92,Qualified,Pending,69
S-86541,2025-12-04,C-2213,CAM-454,South Africa,Cape Town,-33.9249,18.4241,Growth,Cybersecurity,Lerato,Enterprise,13694.37,6111.78,7582.59,Lead,Pending,53
S-38079,2025-12-01,C-7112,CAM-900,Namibia,Windhoek,-22.5609,17.0658,Expansion,Forecasting Model,Kabelo,SME,111504.3,45469.45,66034.85,Closed,Won,44
S-18569,2026-03-26,C-3217,CAM-763,Botswana,Gaborone,-24.6282,25.9231,Existing,Cybersecurity,Neo,SME,53099.35,30911.72,22187.63,Qualified,Won,14
S-63965,2026-05-02,C-1480,CAM-512,Namibia,Windhoek,-22.5609,17.0658,Expansion,BI Dashboard,Neo,Government,39096.98,27837.52,11259.46,Qualified,Won,27
S-73192,2025-12-05,C-5617,CAM-273,Botswana,Maun,-19.9833,23.4167,Expansion,BI Dashboard,Lerato,Government,25370.6,8535.16,16835.44,Proposal,Won,75
S-57281,2026-04-08,C-7423,CAM-908,Namibia,Windhoek,-22.5609,17.0658,Expansion,HR Analytics,Neo,Startup,113371.4,75565.21,37806.19,Qualified,Pending,57
S-34903,2025-11-29,C-8201,CAM-689,Botswana,Francistown,-21.1702,27.5079,Growth,Cybersecurity,Thato,Enterprise,87468.87,60660.14,26808.73,Closed,Lost,65
S-30301,2026-01-16,C-3359,CAM-882,South Africa,Cape Town,-33.9249,18.4241,Growth,AI Chatbot,Aisha,Startup,64455.49,36279.92,28175.57,Qualified,Lost,56
S-75442,2026-05-05,C-8024,CAM-147,Botswana,Francistown,-21.1702,27.5079,Growth,AI Chatbot,Boitumelo,Government,18252.53,10786.85,7465.68,Proposal,Won,60
S-41724,2026-03-28,C-8388,CAM-577,Botswana,Gaborone,-24.6282,25.9231,Existing,Data Automation,Thato,Startup,60623.91,37080.01,23543.9,Lead,Won,73
S-85158,2026-01-01,C-9393,CAM-637,South Africa,Johannesburg,-26.2041,28.0473,Existing,HR Analytics,Kabelo,Government,94568.49,66752.42,27816.07,Proposal,Won,52
S-75320,2026-02-08,C-3103,CAM-260,Zambia,Lusaka,-15.3875,28.3228,Potential,BI Dashboard,Lerato,NGO,72314.39,41693.45,30620.94,Lead,Won,39
S-37843,2026-04-29,C-2525,CAM-436,South Africa,Johannesburg,-26.2041,28.0473,Existing,Process Optimisation,Aisha,SME,96549.31,67127.93,29421.38,Lead,Won,60
S-83663,2026-01-09,C-6922,CAM-916,South Africa,Cape Town,-33.9249,18.4241,Growth,BI Dashboard,Aisha,NGO,123717.16,84389.1,39328.06,Lead,Lost,61
S-53164,2026-04-07,C-7151,CAM-811,Nigeria,Lagos,6.5244,3.3792,Potential,AI Chatbot,Aisha,NGO,11223.99,5483.14,5740.85,Proposal,Pending,28
S-37843,2026-03-26,C-1381,CAM-538,Botswana,Maun,-19.9833,23.4167,Expansion,Forecasting Model,Aisha,Enterprise,26811.63,13579.82,13231.81,Proposal,Won,35
S-33868,2025-11-09,C-9323,CAM-208,Kenya,Nairobi,-1.2921,36.8219,Potential,Cybersecurity,Lerato,Government,103113.42,43012.16,60101.26,Qualified,Lost,40
