campaign_id,date,country,region,latitude,longitude,service,campaign,channel,segment,impressions,clicks,leads,conversions,campaign_cost,revenue_generated
CAM-829,2026-03-15,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Lead Generation,Organic,Government,76617,6063,771,331,22380.6,3432154.85
CAM-487,2025-12-05,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,AI Awareness,Referral,Enterprise,52197,1148,115,56,26012.97,638148.19
CAM-850,2026-01-05,South Africa,Johannesburg,-26.2041,28.0473,Cybersecurity,Market Expansion,Google Ads,NGO,81062,7148,2041,1175,26536.93,3477461.16
CAM-116,2026-02-13,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Market Expansion,Email,NGO,24723,1552,504,106,24228.27,1313707.59
CAM-863,2025-11-15,Botswana,Maun,-19.9833,23.4167,BI Dashboard,Market Expansion,Organic,Startup,29315,1471,250,91,36678.87,907436.02
CAM-206,2026-01-10,Namibia,Windhoek,-22.5609,17.0658,Data Automation,Market Expansion,Google Ads,SME,16985,853,242,65,9091.5,557000.97
CAM-885,2026-03-02,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Market Expansion,Referral,Government,7020,368,88,30,11141.09,83848.2
CAM-551,2026-01-28,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Lead Generation,Organic,NGO,66512,4412,695,372,16476.21,4377962.73
CAM-291,2026-01-05,Botswana,Francistown,-21.1702,27.5079,Data Automation,Market Expansion,Organic,Enterprise,52374,5314,1631,550,18568.4,2640726.31
CAM-991,2025-11-11,Botswana,Gaborone,-24.6282,25.9231,Process Optimisation,Growth Intelligence,Google Ads,Government,73803,2877,437,242,15318.0,558765.55
CAM-452,2025-12-12,Botswana,Maun,-19.9833,23.4167,BI Dashboard,AI Awareness,Email,Startup,19309,1215,97,42,29307.5,513408.75
CAM-130,2025-11-19,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Growth Intelligence,Google Ads,NGO,50551,4707,417,99,26876.36,1273227.76
CAM-757,2026-04-19,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Market Expansion,Facebook,Enterprise,19270,291,76,14,10152.06,47872.82
CAM-160,2025-12-05,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,Market Expansion,Facebook,Government,83332,4248,1192,422,3115.76,1015785.01
CAM-122,2026-02-17,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Market Expansion,Facebook,NGO,22962,1683,252,84,11686.02,911431.97
CAM-458,2026-03-02,South Africa,Cape Town,-33.9249,18.4241,Process Optimisation,Market Expansion,Email,NGO,45643,1841,278,171,3214.17,970700.21
CAM-182,2026-04-19,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Growth Intelligence,Referral,SME,58683,3622,687,208,33144.81,1839549.65
CAM-788,2025-12-28,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Digital Efficiency,Email,Government,71080,2004,549,336,11311.84,2309643.52
CAM-388,2026-03-16,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,AI Awareness,Facebook,Startup,67626,3621,551,206,8303.74,2411499.56
CAM-821,2026-02-26,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,AI Awareness,Google Ads,SME,60939,3226,486,283,16143.18,3368618.29
CAM-786,2025-12-16,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,AI Awareness,LinkedIn,Startup,16489,382,65,17,24418.53,105529.29
CAM-380,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Digital Efficiency,LinkedIn,Enterprise,22451,1202,370,187,39626.44,1748008.02
CAM-393,2025-11-14,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Market Expansion,Facebook,Enterprise,26744,2953,244,98,3573.02,490890.9
CAM-160,2025-12-10,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Market Expansion,LinkedIn,NGO,65959,6717,1067,549,16718.98,2318344.54
CAM-860,2026-02-01,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Market Expansion,Email,Government,60568,5888,1866,531,25220.34,3792572.65
CAM-931,2026-01-10,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Digital Efficiency,Email,Startup,36679,3705,372,74,36574.22,709229.09
CAM-724,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,Digital Efficiency,LinkedIn,Enterprise,35483,2603,250,61,15733.93,116087.41
CAM-524,2026-03-05,Namibia,Windhoek,-22.5609,17.0658,Cybersecurity,Growth Intelligence,Organic,Startup,70387,8172,684,102,39389.41,605063.25
CAM-698,2025-12-24,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,AI Awareness,Facebook,Enterprise,46783,5523,1241,196,13165.74,446341.18
CAM-331,2026-05-04,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Growth Intelligence,LinkedIn,Enterprise,81558,9785,1740,725,35459.63,8714960.36
CAM-177,2025-12-02,Namibia,Windhoek,-22.5609,17.0658,Process Optimisation,Market Expansion,Google Ads,Government,73022,8468,906,222,23813.36,2209343.34
CAM-652,2025-12-17,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Market Expansion,LinkedIn,Startup,57763,6809,1419,617,26543.16,2464655.18
CAM-118,2026-04-18,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Market Expansion,Organic,Enterprise,16887,1995,417,173,4077.83,1674738.69
CAM-329,2025-12-29,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,Digital Efficiency,Google Ads,SME,28072,2992,552,224,17114.78,588782.43
CAM-349,2025-12-11,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Digital Efficiency,Facebook,NGO,4314,486,61,26,39871.72,300811.06
CAM-627,2025-12-31,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Lead Generation,Organic,Enterprise,34818,1956,309,54,21907.27,580410.15
CAM-999,2026-04-24,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,AI Awareness,Facebook,Startup,25429,1268,248,138,18181.22,1402353.97
CAM-640,2026-05-04,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,Growth Intelligence,Email,Enterprise,9754,360,123,40,24287.67,472522.17
CAM-151,2025-12-24,South Africa,Cape Town,-33.9249,18.4241,Data Automation,Lead Generation,Referral,NGO,4524,345,70,36,27397.37,412439.18
CAM-512,2026-04-01,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,Market Expansion,LinkedIn,NGO,32519,506,71,37,11869.05,404848.15
CAM-712,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Digital Efficiency,Google Ads,NGO,35389,1293,356,127,19866.42,1641304.93
CAM-906,2025-11-19,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Market Expansion,Google Ads,Government,20880,2242,280,81,17478.67,286574.13
CAM-564,2026-03-02,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Digital Efficiency,Facebook,Enterprise,31023,2532,740,335,28664.3,4314910.37
CAM-862,2025-11-14,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Growth Intelligence,Organic,Enterprise,69488,3302,704,363,37622.08,1967414.84
CAM-834,2026-02-19,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Lead Generation,Google Ads,Enterprise,30259,530,150,58,3668.23,119846.61
CAM-759,2025-12-29,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,AI Awareness,Google Ads,SME,11912,415,75,34,14413.29,143052.29
CAM-996,2026-02-07,Botswana,Maun,-19.9833,23.4167,Cybersecurity,Lead Generation,Referral,NGO,77672,2046,613,326,31216.54,2685586.05
CAM-815,2026-02-28,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,Lead Generation,Email,NGO,36543,1897,536,146,9107.72,1722822.05
CAM-402,2026-05-03,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Market Expansion,Email,SME,84850,1387,182,23,1814.49,52087.77
CAM-799,2025-12-16,Botswana,Maun,-19.9833,23.4167,Data Automation,AI Awareness,Organic,SME,69483,7140,1231,394,16171.91,3152856.82
CAM-708,2026-01-24,Botswana,Francistown,-21.1702,27.5079,Data Automation,Lead Generation,LinkedIn,Startup,47528,811,194,73,36802.86,457898.4
CAM-460,2026-01-01,Botswana,Maun,-19.9833,23.4167,Cybersecurity,AI Awareness,Organic,NGO,26897,2369,836,239,14006.93,2323836.72
CAM-457,2026-01-11,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Market Expansion,Referral,NGO,35510,2012,273,153,4899.66,1250741.84
CAM-878,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Market Expansion,LinkedIn,Enterprise,10421,249,21,4,26753.4,25607.43
CAM-495,2025-11-30,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Digital Efficiency,Email,Enterprise,65845,5895,1359,412,14480.11,1410212.6
CAM-637,2026-02-16,Botswana,Francistown,-21.1702,27.5079,Data Automation,Lead Generation,Email,SME,19550,672,74,10,19632.87,55949.54
CAM-583,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Market Expansion,LinkedIn,Government,58883,1884,195,43,32599.01,504376.89
CAM-594,2026-02-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Digital Efficiency,LinkedIn,Startup,72669,2723,552,95,12871.64,824313.17
CAM-889,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,HR Analytics,Market Expansion,Email,Startup,6207,639,181,68,6889.56,176242.36
CAM-134,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Digital Efficiency,Organic,NGO,65570,6597,1596,233,35065.2,1983427.11
CAM-757,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,AI Awareness,Email,Enterprise,50689,1083,247,105,31462.62,705864.84
CAM-572,2026-03-06,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Lead Generation,Email,Startup,38889,1154,272,50,13560.06,331665.06
CAM-524,2026-03-21,Botswana,Gaborone,-24.6282,25.9231,Data Automation,AI Awareness,LinkedIn,Startup,38738,3289,437,83,35306.86,996749.41
CAM-849,2026-03-27,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Growth Intelligence,Organic,Startup,36509,1833,535,79,22081.33,575268.06
CAM-570,2026-02-20,Botswana,Maun,-19.9833,23.4167,HR Analytics,Digital Efficiency,LinkedIn,NGO,69468,7548,2071,863,35337.91,10012782.34
CAM-151,2026-03-23,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,Market Expansion,LinkedIn,Enterprise,71870,5754,1707,580,23523.63,7261915.43
CAM-475,2026-03-01,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Growth Intelligence,LinkedIn,SME,41457,2641,221,31,37654.79,110880.49
CAM-447,2026-02-06,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,AI Awareness,Referral,Enterprise,61539,1527,529,63,21376.97,463465.16
CAM-417,2026-01-17,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,AI Awareness,Google Ads,NGO,62601,5822,753,339,23103.35,2453703.65
CAM-743,2026-04-17,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Digital Efficiency,LinkedIn,Startup,59294,6648,1188,314,13835.76,4079399.29
CAM-483,2025-11-24,Botswana,Francistown,-21.1702,27.5079,Data Automation,AI Awareness,Google Ads,NGO,43688,4130,468,209,25743.68,618072.04
CAM-347,2025-12-13,Zambia,Lusaka,-15.3875,28.3228,BI Dashboard,Lead Generation,Referral,Startup,25089,2044,469,175,2353.76,1153141.64
CAM-551,2025-11-20,Namibia,Windhoek,-22.5609,17.0658,Data Automation,AI Awareness,Email,NGO,64947,1496,360,63,15283.95,615922.38
CAM-917,2025-12-21,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,Growth Intelligence,Facebook,Government,54412,1290,328,57,15018.12,277649.07
CAM-275,2026-03-13,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Market Expansion,Google Ads,SME,30190,943,117,23,39506.22,215088.32
CAM-939,2026-03-04,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Growth Intelligence,LinkedIn,Enterprise,67788,7158,732,228,35844.25,1908364.05
CAM-909,2026-03-17,Kenya,Nairobi,-1.2921,36.8219,Data Automation,Digital Efficiency,LinkedIn,Startup,72953,3705,1314,443,17836.03,3547868.15
CAM-893,2026-02-28,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,Growth Intelligence,Google Ads,SME,30107,3221,265,64,24524.57,691579.22
CAM-212,2026-03-12,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,Growth Intelligence,LinkedIn,Startup,84982,6540,2060,448,24871.35,2392073.61
CAM-758,2025-11-11,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,AI Awareness,Organic,NGO,57351,3956,1237,157,32336.04,512813.9
CAM-980,2026-03-24,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,AI Awareness,Google Ads,SME,47286,711,160,83,37534.68,630547.99
CAM-363,2026-02-08,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Digital Efficiency,Facebook,NGO,11078,191,61,7,32137.86,35455.93
CAM-769,2026-02-18,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Digital Efficiency,Organic,NGO,78988,5118,1501,616,20177.01,4812769.49
CAM-215,2026-05-04,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Lead Generation,Referral,Enterprise,79571,5764,1033,517,32838.15,2731497.82
CAM-966,2026-02-19,Kenya,Nairobi,-1.2921,36.8219,Data Automation,Digital Efficiency,LinkedIn,Enterprise,16336,1469,427,57,5844.88,536758.15
CAM-237,2026-02-13,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,Digital Efficiency,LinkedIn,SME,57046,4943,1301,217,39229.86,2568771.15
CAM-298,2025-11-15,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,Lead Generation,Google Ads,NGO,83284,9551,1958,1146,21649.33,13217094.55
CAM-495,2025-11-08,Botswana,Maun,-19.9833,23.4167,HR Analytics,Market Expansion,LinkedIn,Startup,44780,5204,467,61,16093.88,188552.64
CAM-452,2026-01-28,Botswana,Maun,-19.9833,23.4167,Process Optimisation,AI Awareness,Referral,SME,33527,3084,987,459,12761.5,3606086.66
CAM-966,2026-02-03,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Digital Efficiency,Referral,SME,61712,5138,879,524,7835.21,5453374.64
CAM-931,2026-03-19,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,Market Expansion,Google Ads,Enterprise,55428,5375,737,141,7037.85,530844.12
CAM-669,2026-01-08,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,AI Awareness,Google Ads,Startup,41578,4703,1231,456,34214.01,3567287.83
CAM-120,2025-12-13,Botswana,Gaborone,-24.6282,25.9231,BI Dashboard,Digital Efficiency,Facebook,Startup,59150,1832,405,110,32656.98,1171890.46
CAM-178,2026-04-27,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,AI Awareness,Facebook,Enterprise,50479,1504,402,126,1577.86,1525837.39
CAM-439,2026-01-27,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,Growth Intelligence,Email,Government,66376,3843,926,288,15917.92,1517938.93
CAM-647,2026-01-27,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Market Expansion,Email,NGO,38402,1429,311,161,12382.36,703199.17
CAM-267,2026-03-21,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,Lead Generation,Referral,Government,8240,587,165,83,3795.1,418347.91
CAM-904,2026-01-08,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Digital Efficiency,Google Ads,SME,70785,6547,1042,486,25836.18,4432711.52
CAM-141,2026-01-04,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Market Expansion,Email,Government,54199,4790,1422,448,17544.29,3805827.77
CAM-544,2025-11-29,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Lead Generation,Google Ads,NGO,2596,256,35,15,38483.49,90344.84
CAM-625,2025-12-11,Botswana,Maun,-19.9833,23.4167,BI Dashboard,Growth Intelligence,Organic,SME,50823,1783,543,221,10163.66,2043518.58
CAM-169,2026-01-16,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Growth Intelligence,Email,Startup,69162,7732,782,320,25918.41,1329566.3
CAM-677,2026-05-02,Namibia,Windhoek,-22.5609,17.0658,Cybersecurity,Market Expansion,Google Ads,NGO,68747,6804,1772,391,2415.74,4956660.25
CAM-468,2025-12-23,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Market Expansion,Google Ads,NGO,65383,3735,685,153,32223.52,1139378.33
CAM-997,2026-03-26,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,AI Awareness,Referral,SME,56643,2700,220,86,11733.15,752180.85
CAM-975,2026-02-27,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Lead Generation,Google Ads,NGO,28038,2103,574,297,6083.39,2168604.33
CAM-440,2026-05-03,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Market Expansion,Referral,NGO,15546,589,177,58,34056.65,407655.72
CAM-527,2026-04-10,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Digital Efficiency,Referral,NGO,66085,3016,663,84,28445.72,442026.82
CAM-932,2026-04-28,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Market Expansion,Facebook,Enterprise,79278,3818,1075,404,22869.44,2134506.28
CAM-879,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,Process Optimisation,Market Expansion,Referral,Government,37412,2936,362,52,29572.85,351843.42
CAM-829,2025-11-26,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Digital Efficiency,Referral,Startup,21062,950,330,170,16864.16,1864741.39
CAM-345,2025-12-14,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Market Expansion,Google Ads,NGO,71795,7231,1608,646,39351.39,6496258.56
CAM-772,2026-03-24,Zambia,Lusaka,-15.3875,28.3228,Data Automation,Digital Efficiency,LinkedIn,Startup,35868,1665,597,228,18459.55,778747.76
CAM-995,2025-12-13,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Market Expansion,Referral,Government,8730,487,173,87,23537.29,861000.74
CAM-595,2025-11-21,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Lead Generation,LinkedIn,Startup,58163,3432,780,175,9372.9,1178137.01
CAM-678,2026-04-17,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Digital Efficiency,Facebook,Startup,55776,5769,1347,592,36676.4,6438483.4
CAM-844,2025-12-02,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Growth Intelligence,Facebook,Startup,39933,2370,277,70,9783.28,539259.6
CAM-250,2026-05-01,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,AI Awareness,Organic,Government,8048,301,45,22,8009.39,147680.59
CAM-912,2026-03-12,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,Growth Intelligence,Referral,Government,37710,3594,964,257,39848.96,1441480.25
CAM-972,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,Digital Efficiency,LinkedIn,Startup,2928,169,59,27,32131.8,192655.47
CAM-598,2026-03-25,Kenya,Nairobi,-1.2921,36.8219,Data Automation,AI Awareness,Referral,SME,70894,1864,341,98,4329.52,508034.01
CAM-722,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Growth Intelligence,Email,NGO,6248,666,160,51,13401.44,461374.67
CAM-347,2026-01-19,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Digital Efficiency,Email,NGO,12673,849,291,73,34033.54,214908.02
CAM-666,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,Growth Intelligence,Referral,NGO,64770,7398,1947,606,11804.26,1605385.03
CAM-530,2026-05-07,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Market Expansion,Organic,Enterprise,80319,5896,880,506,11110.26,5811389.61
CAM-963,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Growth Intelligence,Organic,Enterprise,80629,3358,1033,132,36681.69,928593.67
CAM-797,2026-01-15,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Growth Intelligence,Organic,SME,72043,4888,1630,190,24411.92,1112393.88
CAM-923,2025-12-31,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Market Expansion,Google Ads,Enterprise,55470,2094,528,195,28413.06,1328457.55
CAM-563,2026-04-29,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Lead Generation,Organic,SME,75319,8356,1087,307,39511.73,3088113.2
CAM-878,2026-04-24,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Digital Efficiency,Referral,SME,15126,1729,357,146,21680.8,727966.18
CAM-651,2026-01-07,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Lead Generation,Referral,Government,84287,6406,780,184,4633.47,1756213.29
CAM-527,2026-04-30,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,Market Expansion,Organic,Startup,79143,1301,206,106,5029.36,1246035.35
CAM-335,2026-02-10,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Digital Efficiency,Google Ads,Startup,11479,662,161,69,17237.68,167663.96
CAM-257,2026-01-01,Botswana,Francistown,-21.1702,27.5079,HR Analytics,Lead Generation,Google Ads,Enterprise,27087,2277,365,128,8700.1,1063160.15
CAM-600,2026-03-14,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Market Expansion,Email,Startup,22211,2615,623,76,9334.62,850880.3
CAM-430,2026-02-09,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Growth Intelligence,Referral,SME,41352,3499,1100,646,7279.16,5568995.42
CAM-349,2025-12-07,Botswana,Maun,-19.9833,23.4167,HR Analytics,Market Expansion,LinkedIn,Startup,64829,7221,688,366,8102.69,1220130.58
CAM-128,2025-12-17,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,Lead Generation,Google Ads,Government,83018,1885,265,140,19642.79,1569171.14
CAM-955,2026-04-20,Botswana,Maun,-19.9833,23.4167,AI Chatbot,AI Awareness,LinkedIn,Enterprise,61967,2900,327,137,22000.79,998662.53
CAM-190,2026-02-02,Botswana,Francistown,-21.1702,27.5079,HR Analytics,Digital Efficiency,Organic,Enterprise,49486,4375,1445,638,24798.43,7709708.42
CAM-113,2026-02-02,Botswana,Francistown,-21.1702,27.5079,Data Automation,Digital Efficiency,Facebook,Enterprise,61259,3021,877,205,18194.09,2410214.25
CAM-315,2026-01-05,Botswana,Gaborone,-24.6282,25.9231,Data Automation,Digital Efficiency,Facebook,Enterprise,57152,2441,740,320,38200.18,1211197.7
CAM-849,2026-03-31,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,AI Awareness,Facebook,Government,20363,1568,224,135,37322.92,1139242.31
CAM-332,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,Data Automation,AI Awareness,Google Ads,SME,64006,7067,2506,1127,5570.34,2765716.74
CAM-199,2026-03-02,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Digital Efficiency,Referral,NGO,82034,2303,582,231,18462.96,2080211.82
CAM-882,2025-12-13,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,Lead Generation,Facebook,SME,74963,4646,397,186,27126.04,1452548.87
CAM-435,2026-01-25,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,AI Awareness,Facebook,Enterprise,29383,1145,311,128,34244.39,597041.06
CAM-644,2025-11-25,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Growth Intelligence,Referral,Startup,16489,1102,282,151,16378.97,1958367.57
CAM-987,2026-05-06,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,Market Expansion,Email,NGO,33040,3652,762,245,1874.6,1144172.48
CAM-594,2025-11-14,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,Digital Efficiency,Organic,Government,57116,1866,280,38,6486.2,281637.05
CAM-988,2026-04-17,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Growth Intelligence,Google Ads,Startup,82352,9190,905,420,12158.96,1933857.69
