ad_id,campaign_id,date,country,region,latitude,longitude,service,platform,campaign,impressions,clicks,conversions,ad_spend,attributed_revenue
AD-9979,CAM-332,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,Data Automation,Facebook Ads,AI Awareness,64006,7067,1538,12776.88,6440721.26
AD-9892,CAM-199,2026-03-02,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Instagram Ads,Digital Efficiency,82034,2303,174,25270.69,966487.32
AD-9927,CAM-882,2025-12-13,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,YouTube Ads,Lead Generation,74963,4646,525,13264.94,4971341.87
AD-2612,CAM-435,2026-01-25,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,Instagram Ads,AI Awareness,29383,1145,197,41419.61,2466872.98
AD-4084,CAM-987,2026-05-06,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,Facebook Ads,Market Expansion,33040,3652,425,47222.08,4043485.75
AD-8511,CAM-594,2025-11-14,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,Facebook Ads,Digital Efficiency,57116,1866,389,23179.04,6165081.66
AD-1412,CAM-988,2026-04-17,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,YouTube Ads,Growth Intelligence,82352,9190,1780,34192.66,20006400.7
AD-6332,CAM-396,2025-12-13,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,YouTube Ads,Market Expansion,49247,1326,209,51277.97,567798.74
AD-5585,CAM-288,2025-12-23,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,LinkedIn Ads,Lead Generation,71748,6203,815,6669.94,9754973.24
AD-6604,CAM-705,2026-04-11,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,Google Ads,Digital Efficiency,28976,1716,286,46937.98,3805184.19
AD-5692,CAM-817,2026-03-24,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,LinkedIn Ads,AI Awareness,60900,3903,755,22941.52,5221221.03
AD-2251,CAM-875,2025-12-16,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,YouTube Ads,Lead Generation,36218,742,43,39677.46,522433.61
AD-3407,CAM-486,2026-02-21,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Google Ads,Market Expansion,46884,4026,197,32744.19,2656424.45
AD-3914,CAM-249,2026-03-16,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,Instagram Ads,AI Awareness,8196,765,153,34961.29,2119026.87
AD-8088,CAM-406,2026-01-19,Botswana,Gaborone,-24.6282,25.9231,Data Automation,LinkedIn Ads,Lead Generation,53420,2942,100,14088.6,1176602.69
AD-8975,CAM-968,2026-04-08,Botswana,Maun,-19.9833,23.4167,BI Dashboard,Facebook Ads,AI Awareness,12297,1275,136,10960.47,1950422.3
AD-1423,CAM-328,2026-03-10,Botswana,Maun,-19.9833,23.4167,Cybersecurity,Google Ads,Lead Generation,47876,3962,264,43986.43,3036843.88
AD-5154,CAM-220,2026-04-20,Zambia,Lusaka,-15.3875,28.3228,Data Automation,LinkedIn Ads,AI Awareness,60726,1427,188,49650.65,706380.91
AD-4729,CAM-139,2025-12-02,Nigeria,Lagos,6.5244,3.3792,Data Automation,LinkedIn Ads,Digital Efficiency,29511,2907,338,32113.85,4184299.75
AD-9463,CAM-795,2025-12-11,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Instagram Ads,AI Awareness,68455,6535,589,47355.35,7725122.28
AD-5131,CAM-775,2026-02-28,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,YouTube Ads,AI Awareness,66159,3066,663,28600.33,8824857.88
AD-2927,CAM-285,2025-11-22,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Google Ads,Growth Intelligence,82086,8431,1137,48113.89,8500762.65
AD-5888,CAM-196,2025-12-19,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,LinkedIn Ads,Growth Intelligence,43299,2145,142,4894.41,1943860.47
AD-1843,CAM-307,2026-01-14,Zimbabwe,Harare,-17.8292,31.0522,Process Optimisation,YouTube Ads,Market Expansion,27863,1686,110,51975.25,617966.6
