client_id,date,country,region,latitude,longitude,segment,industry,service_interest,lead_source,conversion_status,repeat_customer,lifetime_value
C-6710,2025-12-05,South Africa,Johannesburg,-26.2041,28.0473,Enterprise,Finance,AI Chatbot,Referral,Lead,No,10733.06
C-2918,2026-01-05,South Africa,Johannesburg,-26.2041,28.0473,NGO,Mining,Cybersecurity,Google Ads,Converted,Yes,81083.59
C-5395,2026-02-13,Botswana,Gaborone,-24.6282,25.9231,NGO,Insurance,HR Analytics,Email,Lead,Yes,8602.18
C-3451,2025-11-15,Botswana,Maun,-19.9833,23.4167,Startup,Insurance,BI Dashboard,Organic,Converted,Yes,121531.29
C-7021,2026-01-10,Namibia,Windhoek,-22.5609,17.0658,SME,Education,Data Automation,Google Ads,Not Converted,No,4140.63
C-5205,2026-03-02,Botswana,Maun,-19.9833,23.4167,Government,Retail,Forecasting Model,Referral,Not Converted,No,12402.86
C-2673,2026-01-28,South Africa,Cape Town,-33.9249,18.4241,NGO,Mining,HR Analytics,Organic,Lead,No,9832.74
C-1983,2026-01-05,Botswana,Francistown,-21.1702,27.5079,Enterprise,Technology,Data Automation,Organic,Converted,Yes,36428.09
C-4583,2025-11-11,Botswana,Gaborone,-24.6282,25.9231,Government,Mining,Process Optimisation,Google Ads,Lead,Yes,2501.3
C-3713,2025-12-12,Botswana,Maun,-19.9833,23.4167,Startup,Agriculture,BI Dashboard,Email,Lead,No,6695.12
C-8712,2025-11-19,Zambia,Lusaka,-15.3875,28.3228,NGO,Mining,Cybersecurity,Google Ads,Lead,No,17279.22
C-6851,2026-04-19,Botswana,Maun,-19.9833,23.4167,Enterprise,Finance,Process Optimisation,Facebook,Converted,No,80377.61
C-4035,2025-12-05,Kenya,Nairobi,-1.2921,36.8219,Government,Mining,Forecasting Model,Facebook,Lead,No,17814.21
C-7842,2026-02-17,Nigeria,Lagos,6.5244,3.3792,NGO,Agriculture,Forecasting Model,Facebook,Lead,No,3925.3
C-9188,2026-03-02,South Africa,Cape Town,-33.9249,18.4241,NGO,Agriculture,Process Optimisation,Email,Lead,Yes,13558.95
C-5300,2026-04-19,Zimbabwe,Harare,-17.8292,31.0522,SME,Finance,HR Analytics,Referral,Converted,Yes,69394.18
C-7296,2025-12-28,Zimbabwe,Harare,-17.8292,31.0522,Government,Insurance,HR Analytics,Email,Lead,Yes,12516.56
C-4654,2026-03-16,South Africa,Johannesburg,-26.2041,28.0473,Startup,Retail,BI Dashboard,Facebook,Not Converted,No,2235.02
C-7242,2026-02-26,South Africa,Cape Town,-33.9249,18.4241,SME,Mining,HR Analytics,Google Ads,Converted,Yes,113463.02
C-3034,2025-12-16,Botswana,Gaborone,-24.6282,25.9231,Startup,Agriculture,AI Chatbot,LinkedIn,Converted,No,79434.79
C-5951,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Enterprise,Insurance,Process Optimisation,LinkedIn,Lead,Yes,15164.16
C-5573,2025-11-14,Namibia,Windhoek,-22.5609,17.0658,Enterprise,Education,BI Dashboard,Facebook,Lead,Yes,1871.75
C-6576,2025-12-10,Zambia,Lusaka,-15.3875,28.3228,NGO,Education,HR Analytics,LinkedIn,Converted,No,240773.03
C-1155,2026-02-01,South Africa,Cape Town,-33.9249,18.4241,Government,Retail,BI Dashboard,Email,Lead,No,1249.56
C-4255,2026-01-10,Zambia,Lusaka,-15.3875,28.3228,Startup,Finance,Process Optimisation,Email,Converted,No,29360.5
C-5117,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,Enterprise,Mining,Data Automation,LinkedIn,Converted,No,96462.79
C-4555,2026-03-05,Namibia,Windhoek,-22.5609,17.0658,Startup,Mining,Cybersecurity,Organic,Lead,Yes,1843.6
C-8066,2025-12-24,Zambia,Lusaka,-15.3875,28.3228,Enterprise,Insurance,HR Analytics,Facebook,Lead,Yes,6639.38
C-8892,2026-05-04,Zimbabwe,Harare,-17.8292,31.0522,Enterprise,Technology,Forecasting Model,LinkedIn,Converted,No,223512.04
C-5656,2025-12-02,Namibia,Windhoek,-22.5609,17.0658,Government,Mining,Process Optimisation,Google Ads,Lead,Yes,7294.16
C-5752,2025-12-17,Zimbabwe,Harare,-17.8292,31.0522,Startup,Agriculture,BI Dashboard,LinkedIn,Not Converted,No,16158.12
C-5596,2026-04-18,Nigeria,Lagos,6.5244,3.3792,Enterprise,Finance,AI Chatbot,Organic,Lead,Yes,14426.04
C-7773,2025-12-29,Kenya,Nairobi,-1.2921,36.8219,SME,Insurance,Forecasting Model,Google Ads,Lead,Yes,10937.35
C-4312,2025-12-11,Kenya,Nairobi,-1.2921,36.8219,NGO,Education,Process Optimisation,Facebook,Converted,Yes,215862.06
C-3500,2025-12-31,South Africa,Cape Town,-33.9249,18.4241,Enterprise,Agriculture,HR Analytics,Organic,Converted,No,231182.1
C-2467,2026-04-24,Zimbabwe,Harare,-17.8292,31.0522,Startup,Retail,Data Automation,Facebook,Converted,Yes,201141.35
C-7528,2026-05-04,Botswana,Francistown,-21.1702,27.5079,Enterprise,Finance,Process Optimisation,Email,Lead,No,7159.07
C-8407,2025-12-24,South Africa,Cape Town,-33.9249,18.4241,NGO,Insurance,Data Automation,Referral,Converted,Yes,254828.93
C-6473,2026-04-01,Zambia,Lusaka,-15.3875,28.3228,NGO,Retail,AI Chatbot,LinkedIn,Lead,Yes,7812.98
C-1198,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,NGO,Retail,Forecasting Model,Google Ads,Lead,No,7460.06
C-4322,2025-11-19,Botswana,Maun,-19.9833,23.4167,Government,Retail,Forecasting Model,Google Ads,Lead,No,14150.95
C-8955,2026-03-02,Botswana,Maun,-19.9833,23.4167,Enterprise,Technology,Forecasting Model,Facebook,Converted,No,64555.66
C-5825,2025-11-14,Zambia,Lusaka,-15.3875,28.3228,Enterprise,Technology,Cybersecurity,Organic,Lead,Yes,3181.02
C-6996,2026-02-19,Botswana,Maun,-19.9833,23.4167,Enterprise,Finance,Forecasting Model,Google Ads,Converted,Yes,210635.0
C-2110,2025-12-29,Botswana,Francistown,-21.1702,27.5079,SME,Retail,AI Chatbot,Google Ads,Not Converted,Yes,17100.39
C-2168,2026-02-07,Botswana,Maun,-19.9833,23.4167,NGO,Retail,Cybersecurity,Referral,Lead,No,2028.85
C-6196,2026-02-28,South Africa,Cape Town,-33.9249,18.4241,NGO,Mining,Cybersecurity,Email,Converted,Yes,161266.68
C-1888,2026-05-03,Botswana,Maun,-19.9833,23.4167,SME,Finance,Process Optimisation,Email,Converted,Yes,224407.34
C-8773,2025-12-16,Botswana,Maun,-19.9833,23.4167,SME,Agriculture,Data Automation,Organic,Lead,Yes,5143.1
C-2875,2026-01-24,Botswana,Francistown,-21.1702,27.5079,Startup,Mining,Data Automation,LinkedIn,Converted,No,127328.31
C-8728,2026-01-01,Botswana,Maun,-19.9833,23.4167,NGO,Technology,Cybersecurity,Organic,Not Converted,No,17229.09
C-5112,2026-01-11,Botswana,Francistown,-21.1702,27.5079,NGO,Education,AI Chatbot,Referral,Lead,No,10873.41
C-7066,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,Enterprise,Technology,Cybersecurity,LinkedIn,Converted,No,201152.77
C-2947,2025-11-30,Zimbabwe,Harare,-17.8292,31.0522,Enterprise,Education,BI Dashboard,Email,Converted,Yes,198560.41
C-4669,2026-02-16,Botswana,Francistown,-21.1702,27.5079,SME,Technology,Data Automation,Email,Lead,Yes,900.35
C-7058,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,Government,Technology,BI Dashboard,LinkedIn,Converted,No,54085.6
C-1263,2026-02-07,Namibia,Windhoek,-22.5609,17.0658,Startup,Insurance,HR Analytics,LinkedIn,Converted,No,194374.16
C-2706,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,Startup,Agriculture,HR Analytics,Email,Not Converted,No,14163.71
C-2956,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,NGO,Finance,Cybersecurity,Organic,Lead,Yes,17428.09
C-3360,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Enterprise,Finance,Forecasting Model,Email,Lead,No,3887.99
C-1324,2026-03-06,Nigeria,Lagos,6.5244,3.3792,Startup,Education,Process Optimisation,Email,Lead,No,17516.39
C-6695,2026-03-21,Botswana,Gaborone,-24.6282,25.9231,Startup,Agriculture,Data Automation,LinkedIn,Converted,Yes,89399.15
C-5083,2026-03-27,Zimbabwe,Harare,-17.8292,31.0522,Startup,Mining,BI Dashboard,Organic,Lead,Yes,4403.89
C-3553,2026-02-20,Botswana,Maun,-19.9833,23.4167,NGO,Mining,HR Analytics,LinkedIn,Converted,No,64283.37
C-1088,2026-03-23,Kenya,Nairobi,-1.2921,36.8219,Enterprise,Mining,HR Analytics,LinkedIn,Lead,No,12652.18
C-7098,2026-03-01,Botswana,Gaborone,-24.6282,25.9231,SME,Insurance,HR Analytics,LinkedIn,Converted,No,44353.17
C-5432,2026-02-06,South Africa,Johannesburg,-26.2041,28.0473,Enterprise,Technology,BI Dashboard,Referral,Converted,No,123055.4
C-8566,2026-01-17,Zimbabwe,Harare,-17.8292,31.0522,NGO,Education,Cybersecurity,Google Ads,Converted,Yes,70757.45
C-7385,2026-04-17,South Africa,Cape Town,-33.9249,18.4241,Startup,Agriculture,HR Analytics,LinkedIn,Lead,No,8461.4
C-9831,2025-11-24,Botswana,Francistown,-21.1702,27.5079,NGO,Agriculture,Data Automation,Google Ads,Lead,Yes,14767.05
C-2642,2025-12-13,Zambia,Lusaka,-15.3875,28.3228,Startup,Education,BI Dashboard,Referral,Not Converted,No,15526.07
C-9077,2025-11-20,Namibia,Windhoek,-22.5609,17.0658,NGO,Insurance,Data Automation,Email,Converted,No,57717.74
C-5472,2025-12-21,Namibia,Windhoek,-22.5609,17.0658,Government,Retail,Forecasting Model,Facebook,Converted,No,132526.22
C-6097,2026-03-13,Zimbabwe,Harare,-17.8292,31.0522,SME,Insurance,Data Automation,Google Ads,Converted,Yes,100481.68
C-5066,2026-03-04,Nigeria,Lagos,6.5244,3.3792,Enterprise,Agriculture,HR Analytics,LinkedIn,Not Converted,Yes,16824.29
C-7639,2026-03-17,Kenya,Nairobi,-1.2921,36.8219,Startup,Finance,Data Automation,LinkedIn,Lead,Yes,5816.91
C-5092,2026-02-28,Zimbabwe,Harare,-17.8292,31.0522,SME,Mining,AI Chatbot,Google Ads,Converted,Yes,22088.13
C-8877,2026-03-12,South Africa,Cape Town,-33.9249,18.4241,Startup,Retail,Cybersecurity,LinkedIn,Converted,No,173368.28
C-4569,2025-11-11,Botswana,Francistown,-21.1702,27.5079,NGO,Agriculture,Cybersecurity,Organic,Not Converted,Yes,5995.58
C-1183,2026-03-24,South Africa,Cape Town,-33.9249,18.4241,SME,Finance,Cybersecurity,Google Ads,Lead,Yes,15932.69
C-6357,2026-02-08,Botswana,Gaborone,-24.6282,25.9231,NGO,Agriculture,HR Analytics,Facebook,Not Converted,No,14409.36
C-2669,2026-02-18,South Africa,Cape Town,-33.9249,18.4241,NGO,Education,BI Dashboard,Organic,Not Converted,No,11555.2
C-6027,2026-05-04,Zimbabwe,Harare,-17.8292,31.0522,Enterprise,Education,Data Automation,Referral,Converted,Yes,167742.21
C-9176,2026-02-19,Kenya,Nairobi,-1.2921,36.8219,Enterprise,Agriculture,Data Automation,LinkedIn,Converted,No,249002.99
C-6267,2026-02-13,South Africa,Johannesburg,-26.2041,28.0473,SME,Education,Data Automation,LinkedIn,Converted,No,84336.27
C-9611,2025-11-15,Botswana,Gaborone,-24.6282,25.9231,NGO,Insurance,AI Chatbot,Google Ads,Lead,No,9117.79
C-8100,2025-11-08,Botswana,Maun,-19.9833,23.4167,Startup,Retail,HR Analytics,LinkedIn,Converted,No,162196.32
C-4412,2026-01-28,Botswana,Maun,-19.9833,23.4167,SME,Insurance,Process Optimisation,Referral,Converted,Yes,235970.08
C-1024,2026-02-03,Zimbabwe,Harare,-17.8292,31.0522,SME,Technology,Forecasting Model,Referral,Converted,Yes,118986.87
C-1294,2026-03-19,South Africa,Cape Town,-33.9249,18.4241,Enterprise,Technology,AI Chatbot,Google Ads,Lead,Yes,15916.46
C-5427,2026-01-08,Nigeria,Lagos,6.5244,3.3792,Startup,Education,Cybersecurity,Google Ads,Not Converted,No,14459.15
C-8705,2025-12-13,Botswana,Gaborone,-24.6282,25.9231,Startup,Agriculture,BI Dashboard,Facebook,Not Converted,No,4991.01
C-2079,2026-04-27,Zambia,Lusaka,-15.3875,28.3228,Enterprise,Education,AI Chatbot,Facebook,Lead,No,12859.38
C-4526,2026-01-27,South Africa,Johannesburg,-26.2041,28.0473,Government,Insurance,BI Dashboard,Email,Lead,No,9520.21
C-4029,2026-01-27,Zimbabwe,Harare,-17.8292,31.0522,NGO,Finance,Cybersecurity,Email,Converted,Yes,185634.23
C-2056,2026-03-21,Nigeria,Lagos,6.5244,3.3792,Government,Retail,Cybersecurity,Referral,Converted,No,14798.79
C-8814,2026-01-08,Zimbabwe,Harare,-17.8292,31.0522,SME,Technology,Cybersecurity,Google Ads,Lead,Yes,3227.33
C-8590,2026-01-04,Nigeria,Lagos,6.5244,3.3792,Government,Technology,Forecasting Model,Email,Converted,No,144979.69
C-7961,2025-11-29,Botswana,Gaborone,-24.6282,25.9231,NGO,Education,Forecasting Model,Google Ads,Lead,Yes,3056.7
C-3480,2025-12-11,Botswana,Maun,-19.9833,23.4167,SME,Finance,BI Dashboard,Organic,Lead,No,7077.5
C-4999,2026-01-16,Namibia,Windhoek,-22.5609,17.0658,Startup,Education,HR Analytics,Email,Lead,No,17917.58
C-7128,2026-05-02,Namibia,Windhoek,-22.5609,17.0658,NGO,Insurance,Cybersecurity,Google Ads,Lead,Yes,9752.5
C-6597,2025-12-23,Zimbabwe,Harare,-17.8292,31.0522,NGO,Technology,HR Analytics,Google Ads,Lead,No,4077.99
C-5709,2026-03-26,Nigeria,Lagos,6.5244,3.3792,SME,Insurance,Process Optimisation,Referral,Converted,No,122204.33
C-6986,2026-02-27,Zimbabwe,Harare,-17.8292,31.0522,NGO,Insurance,HR Analytics,Google Ads,Not Converted,Yes,11472.37
C-2909,2026-05-03,Zambia,Lusaka,-15.3875,28.3228,NGO,Insurance,Cybersecurity,Referral,Lead,No,12479.41
C-7330,2026-04-10,Zimbabwe,Harare,-17.8292,31.0522,NGO,Insurance,Data Automation,Referral,Not Converted,Yes,4976.5
C-9583,2026-04-28,Zambia,Lusaka,-15.3875,28.3228,Enterprise,Finance,HR Analytics,Facebook,Not Converted,No,2730.54
C-7855,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,Government,Mining,Process Optimisation,Referral,Not Converted,No,15951.52
C-5916,2025-11-26,South Africa,Johannesburg,-26.2041,28.0473,Startup,Retail,Forecasting Model,Referral,Converted,No,39443.34
C-2727,2025-12-14,Zimbabwe,Harare,-17.8292,31.0522,NGO,Agriculture,Data Automation,Google Ads,Converted,Yes,196458.73
C-6542,2026-03-24,Zambia,Lusaka,-15.3875,28.3228,Startup,Mining,Data Automation,LinkedIn,Converted,Yes,110171.17
C-6649,2025-12-13,South Africa,Johannesburg,-26.2041,28.0473,Government,Agriculture,AI Chatbot,Referral,Not Converted,Yes,8341.0
C-5401,2025-11-21,Zimbabwe,Harare,-17.8292,31.0522,Startup,Technology,BI Dashboard,LinkedIn,Lead,No,1905.04
C-8005,2026-04-17,Nigeria,Lagos,6.5244,3.3792,Startup,Finance,Process Optimisation,Facebook,Not Converted,Yes,5792.96
C-4841,2025-12-02,Kenya,Nairobi,-1.2921,36.8219,Startup,Retail,Cybersecurity,Facebook,Not Converted,Yes,17808.3
C-9411,2026-05-01,Zambia,Lusaka,-15.3875,28.3228,Government,Mining,HR Analytics,Organic,Converted,Yes,16239.48
C-1953,2026-03-12,Botswana,Francistown,-21.1702,27.5079,Government,Mining,BI Dashboard,Referral,Converted,No,245443.17
C-9780,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,Startup,Retail,AI Chatbot,LinkedIn,Lead,No,2354.4
C-8492,2026-03-25,Kenya,Nairobi,-1.2921,36.8219,SME,Mining,Data Automation,Referral,Lead,Yes,12010.83
C-9565,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,NGO,Retail,Forecasting Model,Email,Converted,Yes,127613.17
C-2094,2026-01-19,Zambia,Lusaka,-15.3875,28.3228,NGO,Retail,Process Optimisation,Email,Not Converted,Yes,11507.91
C-2883,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,NGO,Insurance,Cybersecurity,Referral,Lead,Yes,12185.02
C-7361,2026-05-07,Nigeria,Lagos,6.5244,3.3792,Enterprise,Mining,AI Chatbot,Organic,Not Converted,No,6783.76
C-7744,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Enterprise,Mining,HR Analytics,Organic,Lead,Yes,6261.74
C-9052,2026-01-15,Botswana,Francistown,-21.1702,27.5079,SME,Technology,Cybersecurity,Organic,Lead,No,12369.77
C-8063,2025-12-31,Namibia,Windhoek,-22.5609,17.0658,Enterprise,Retail,BI Dashboard,Google Ads,Lead,No,5473.02
C-1051,2026-04-29,Nigeria,Lagos,6.5244,3.3792,SME,Agriculture,BI Dashboard,Organic,Lead,No,13824.48
C-7668,2026-04-24,Zambia,Lusaka,-15.3875,28.3228,SME,Mining,Cybersecurity,Referral,Lead,Yes,7364.16
C-3935,2026-01-07,Botswana,Gaborone,-24.6282,25.9231,Government,Technology,Forecasting Model,Referral,Lead,No,9567.49
C-8415,2026-04-30,Botswana,Gaborone,-24.6282,25.9231,Startup,Retail,Cybersecurity,Organic,Converted,No,120336.26
C-2607,2026-02-10,Kenya,Nairobi,-1.2921,36.8219,Startup,Finance,Process Optimisation,Google Ads,Converted,No,221795.28
C-8985,2026-01-01,Botswana,Francistown,-21.1702,27.5079,Enterprise,Insurance,HR Analytics,Google Ads,Lead,No,2178.7
C-4631,2026-03-14,Zambia,Lusaka,-15.3875,28.3228,Startup,Mining,Process Optimisation,Email,Converted,Yes,193717.14
C-4965,2026-02-09,Zambia,Lusaka,-15.3875,28.3228,SME,Mining,Cybersecurity,Referral,Converted,Yes,118240.54
C-3810,2025-12-07,Botswana,Maun,-19.9833,23.4167,Startup,Retail,HR Analytics,LinkedIn,Converted,No,39069.03
C-2065,2025-12-17,Botswana,Francistown,-21.1702,27.5079,Government,Technology,BI Dashboard,Google Ads,Lead,Yes,2367.84
C-9788,2026-04-20,Botswana,Maun,-19.9833,23.4167,Enterprise,Insurance,AI Chatbot,LinkedIn,Lead,No,2893.04
C-6162,2026-02-02,Botswana,Francistown,-21.1702,27.5079,Enterprise,Finance,HR Analytics,Organic,Converted,No,58289.36
C-2225,2026-02-02,Botswana,Francistown,-21.1702,27.5079,Enterprise,Mining,Data Automation,Facebook,Converted,No,77777.39
C-6592,2026-01-05,Botswana,Gaborone,-24.6282,25.9231,Enterprise,Finance,Data Automation,Facebook,Converted,Yes,203689.28
C-4672,2026-03-31,Nigeria,Lagos,6.5244,3.3792,Government,Finance,Process Optimisation,Facebook,Lead,No,16900.06
C-9907,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,SME,Mining,Data Automation,Google Ads,Converted,No,92923.93
C-7359,2026-03-02,South Africa,Johannesburg,-26.2041,28.0473,NGO,Insurance,AI Chatbot,Referral,Converted,Yes,231030.97
C-8363,2025-12-13,Nigeria,Lagos,6.5244,3.3792,SME,Insurance,Cybersecurity,Facebook,Converted,Yes,167156.43
C-7880,2026-01-25,Botswana,Francistown,-21.1702,27.5079,Enterprise,Insurance,Process Optimisation,Facebook,Converted,Yes,167992.77
C-7204,2025-11-25,Botswana,Francistown,-21.1702,27.5079,Startup,Agriculture,AI Chatbot,Referral,Converted,Yes,218169.87
C-6006,2026-05-06,Botswana,Francistown,-21.1702,27.5079,NGO,Technology,Forecasting Model,Email,Not Converted,Yes,13979.66
C-7338,2025-11-14,South Africa,Cape Town,-33.9249,18.4241,Government,Technology,Forecasting Model,Organic,Lead,Yes,2140.19
C-3819,2026-04-17,Botswana,Francistown,-21.1702,27.5079,Startup,Education,AI Chatbot,Google Ads,Converted,Yes,118025.34
C-6496,2025-12-13,South Africa,Cape Town,-33.9249,18.4241,NGO,Technology,Cybersecurity,Facebook,Lead,Yes,6700.91
C-8806,2026-03-29,Botswana,Gaborone,-24.6282,25.9231,SME,Insurance,AI Chatbot,Organic,Converted,No,163008.52
C-3572,2025-12-23,Namibia,Windhoek,-22.5609,17.0658,NGO,Mining,AI Chatbot,Referral,Converted,No,36035.84
C-5251,2025-11-16,South Africa,Cape Town,-33.9249,18.4241,Government,Agriculture,HR Analytics,Referral,Converted,No,102437.08
C-8366,2026-04-11,South Africa,Johannesburg,-26.2041,28.0473,Government,Agriculture,Data Automation,Referral,Converted,Yes,212853.86
C-3042,2026-03-24,Botswana,Gaborone,-24.6282,25.9231,SME,Mining,Cybersecurity,LinkedIn,Lead,No,934.15
C-1655,2026-04-19,Kenya,Nairobi,-1.2921,36.8219,NGO,Agriculture,AI Chatbot,Organic,Converted,No,27095.47
C-3048,2025-12-16,Namibia,Windhoek,-22.5609,17.0658,Enterprise,Finance,AI Chatbot,Referral,Converted,Yes,28867.7
C-2549,2026-03-18,South Africa,Cape Town,-33.9249,18.4241,SME,Education,Data Automation,Organic,Lead,No,17747.09
C-9632,2026-02-21,Nigeria,Lagos,6.5244,3.3792,SME,Insurance,HR Analytics,Facebook,Converted,Yes,118005.95
C-7020,2026-03-16,South Africa,Johannesburg,-26.2041,28.0473,Enterprise,Education,BI Dashboard,Google Ads,Not Converted,No,10557.71
C-8790,2026-01-19,Botswana,Gaborone,-24.6282,25.9231,NGO,Insurance,Data Automation,Facebook,Converted,Yes,122569.02
C-9994,2026-04-08,Botswana,Maun,-19.9833,23.4167,Startup,Mining,BI Dashboard,Referral,Not Converted,Yes,12272.77
C-3219,2026-03-10,Botswana,Maun,-19.9833,23.4167,NGO,Mining,Cybersecurity,Google Ads,Lead,No,12362.85
C-9804,2026-04-20,Zambia,Lusaka,-15.3875,28.3228,Enterprise,Insurance,Data Automation,Organic,Lead,No,6852.65
C-1235,2025-11-09,South Africa,Cape Town,-33.9249,18.4241,Government,Retail,AI Chatbot,Referral,Lead,No,8212.56
C-9007,2025-12-02,Nigeria,Lagos,6.5244,3.3792,NGO,Agriculture,Data Automation,Facebook,Not Converted,Yes,6991.12
C-4675,2025-12-11,Kenya,Nairobi,-1.2921,36.8219,SME,Education,Cybersecurity,Google Ads,Converted,No,111314.16
C-4726,2026-02-28,Namibia,Windhoek,-22.5609,17.0658,SME,Mining,AI Chatbot,Referral,Converted,No,36504.3
C-5784,2025-11-22,Nigeria,Lagos,6.5244,3.3792,SME,Finance,Forecasting Model,Referral,Lead,No,7854.49
C-3880,2025-12-19,Botswana,Gaborone,-24.6282,25.9231,NGO,Retail,Cybersecurity,Email,Lead,No,3976.29
C-5224,2026-01-14,Zimbabwe,Harare,-17.8292,31.0522,NGO,Mining,Process Optimisation,Organic,Converted,Yes,96655.49
C-6612,2026-01-22,Zimbabwe,Harare,-17.8292,31.0522,Startup,Mining,Cybersecurity,Referral,Converted,No,147641.95
C-5910,2026-01-29,Zimbabwe,Harare,-17.8292,31.0522,Enterprise,Education,Data Automation,Referral,Lead,No,1825.46
C-7266,2026-01-16,Botswana,Francistown,-21.1702,27.5079,NGO,Insurance,Process Optimisation,Google Ads,Lead,Yes,15913.62
C-9243,2026-03-10,Namibia,Windhoek,-22.5609,17.0658,Startup,Education,Data Automation,LinkedIn,Lead,Yes,11586.33
C-1622,2026-04-12,Zimbabwe,Harare,-17.8292,31.0522,SME,Insurance,Forecasting Model,Email,Lead,No,984.5
C-7927,2025-11-22,Namibia,Windhoek,-22.5609,17.0658,Startup,Finance,Forecasting Model,Google Ads,Lead,No,5449.07
C-9315,2026-04-02,Botswana,Francistown,-21.1702,27.5079,Startup,Retail,BI Dashboard,Email,Not Converted,No,3385.54
C-9227,2026-04-03,Kenya,Nairobi,-1.2921,36.8219,Enterprise,Technology,Forecasting Model,Email,Not Converted,No,13551.45
C-8833,2026-01-16,Botswana,Gaborone,-24.6282,25.9231,NGO,Education,HR Analytics,Organic,Converted,Yes,201318.39
C-5530,2025-11-18,Zambia,Lusaka,-15.3875,28.3228,SME,Retail,AI Chatbot,Referral,Not Converted,Yes,1591.57
C-9812,2026-03-07,Botswana,Francistown,-21.1702,27.5079,Enterprise,Insurance,HR Analytics,Email,Converted,No,76262.39
C-7978,2026-01-16,Kenya,Nairobi,-1.2921,36.8219,SME,Education,HR Analytics,Facebook,Lead,No,15904.21
